date,ticker,open,high,low,close
2018/4/17,BTC,8044.67,8185.27,7864.98,7943.6
2018/5/17,BTC,8282.25,8466.28,8147.48,8164.51
2018/6/17,BTC,6538.42,6584.18,6465.44,6517.81
2018/7/17,BTC,6678.61,7466.94,6675.39,7366.28
2018/8/17,BTC,6287.16,6559.66,6273.17,6524.58
2018/9/17,BTC,6502.08,6535.81,6218.12,6254.27
2018/10/17,BTC,6576.38,6608.07,6511.64,6567.25
2018/11/17,BTC,5512.76,5601.87,5496.46,5562.52
2018/12/17,BTC,3257.64,3637.56,3240.9,3526.68
2019/1/17,BTC,3618.33,3694.74,3587.34,3672.57
2019/2/17,BTC,3624.16,3704.6,3608.19,3650.95
2019/3/17,BTC,4024.47,4029.39,3971.82,4003.04
2019/4/17,BTC,5212.54,5270.29,5193.66,5243.88
2019/5/17,BTC,7918.43,7942.24,6704.57,7264.88
2019/6/17,BTC,9041.2,9413.55,8969.73,9289.34
2019/7/17,BTC,9644.23,9974.82,9092.37,9824.56
2019/8/17,BTC,10447.7,10485.8,10015.9,10143
2019/9/17,BTC,10316.9,10353.4,10154.9,10225.4
2019/10/17,BTC,7988.52,8140.67,7949.65,8086.75
2019/11/17,BTC,8492.54,8636.73,8421.02,8555.82
2019/12/17,BTC,6906.22,6947.27,6596.57,6605.21
2020/1/17,BTC,8714.08,9003.43,8665.99,8924.98
2020/2/17,BTC,9875.03,9993.59,9485.68,9636.3
2020/3/17,BTC,4947.51,5561.43,4927.98,5464
2020/4/17,BTC,7081.09,7203.68,7006.2,7052.61
2020/5/17,BTC,9383.32,9883.98,9337.27,9761.77
2020/6/17,BTC,9506.29,9548.34,9247.23,9409.8
2020/7/17,BTC,9126.58,9181.93,9083.27,9154.51
2020/8/17,BTC,11861.5,12474.5,11776.1,12335
2020/9/17,BTC,11020.1,11046,10760.1,10962.5
2020/10/17,BTC,11344.6,11404.5,11272.4,11349.1
2020/11/17,BTC,16718.7,17852,16563.7,17604.1
2020/12/17,BTC,21389.5,23694.5,21235.8,22963.8
2021/1/17,BTC,36146.1,36856.6,33858.6,36214.2
2021/2/17,BTC,49131.7,52622.3,48968.9,52142.7
2021/3/17,BTC,56285.4,58956.3,54185.9,58356.6
2021/4/17,BTC,61826.4,62539.4,59725.6,60773.6
2021/5/17,BTC,45210.9,46637.1,42166.7,43547.6
2021/6/17,BTC,38767.1,39526.7,37398,37743.3
2021/7/17,BTC,31742.7,31950.8,31201.9,31728.6
2021/8/17,BTC,46069.5,47095.9,44593.1,44776.7
2021/9/17,BTC,47676.4,48166.7,46791.7,47246.8
2021/10/17,BTC,60677.5,61420.2,59083.8,60609.9
2021/11/17,BTC,60615.2,60830.9,58586.6,59992.1
2021/12/17,BTC,47830.9,48009.8,45498.7,46534
2022/1/17,BTC,43209.7,43280.3,41557.4,42094
2022/2/17,BTC,44032.5,44190.7,40097.2,40737
2022/3/17,BTC,40895.3,41483.8,40508.1,41008.3
2022/4/17,BTC,40518.4,40688.1,39837.3,40216.2
2022/5/17,BTC,30130.8,30718.6,29440.4,30512.1
2022/6/17,BTC,20435.1,21334.3,20218.9,20533.1
2022/7/17,BTC,21192.8,21658.9,20823.6,21016.7
2022/8/17,BTC,23951.8,24445.2,23184.2,23332.9
2022/9/17,BTC,19744.5,20189,19693.4,20034.5
2022/10/17,BTC,19149.3,19676.7,19119.7,19515.4
2022/11/17,BTC,16652.8,16750.3,16399.8,16697.2
2022/12/17,BTC,16727,16773.5,16532.6,16741.7
2023/1/17,BTC,21187,21595.2,20850.7,21234.1
2023/2/17,BTC,23997.9,25012.6,23347.1,24680.9
2023/3/17,BTC,25043.9,27827.2,24944.7,27750.1
2023/4/17,BTC,30406,30425.5,29260.8,29469.6
2023/5/17,BTC,27020.6,27506.8,26603.9,27378.6
2023/6/17,BTC,26289.5,26798.3,26163.7,26514.2
2023/7/17,BTC,30306.6,30375.9,29665.4,30249.1
2023/8/17,BTC,28897.2,28944.4,25156.3,26238.8
2023/9/17,BTC,26572.4,26628,26404.6,26491.3
2023/10/17,BTC,28435,28627.8,28081.5,28497.8
2023/11/17,BTC,36225.1,36772,35873.1,36552.4
2023/12/17,BTC,42277,42373.1,41532.4,41674.9
2024/1/17,BTC,43199.1,43277.8,42162.8,42679.4
2024/2/17,BTC,52017.9,52246.6,50645.3,51721.9
2024/3/17,BTC,66318.6,68862.1,64499.7,68201.1
2024/4/17,BTC,64019.9,64501.9,59677.6,61294.1
2024/5/17,BTC,65467.9,67473.8,65109.6,66846.6
2024/6/17,BTC,66471.8,67247.9,65074.6,66541.3
2024/7/17,BTC,64516.1,66140.2,63867.4,64323.8
2024/8/17,BTC,59033.8,59695.8,58739.7,59309.1
2024/9/17,BTC,57984.5,61323.5,57610,60338.8
2024/10/17,BTC,67556.9,67925.8,66640.3,67059.9
2024/11/17,BTC,90360,91438.1,88722,89567.6
2025/2/17,BTC,96876.5,97044.1,95210,95878.4
2016/7/1,DOGE,0.00029,0.000294,0.00029,0.000294
2016/8/1,DOGE,0.00025,0.00025,0.000249,0.000249
2016/9/1,DOGE,0.000245,0.000245,0.00023,0.000245
2016/10/1,DOGE,0.00024,0.00024,0.000238,0.000238
2016/11/1,DOGE,0.0002,0.000223,0.0002,0.000223
2016/12/1,DOGE,0.000223,0.000223,0.000221,0.000221
